Horizon,Accuracy,Precision_Buy,Precision_Sell,F1_Buy,F1_Sell
MI_1min_MidClose,0.5149544863459038,0.533625730994152,0.48775292864749736,0.5786761791518034,0.46356275303643724
MI_5min_MidClose,0.5403295750216826,0.5414703110273327,0.5271739130434783,0.6857654431512982,0.16166666666666665
MI_15min_MidClose,0.531951640759931,0.5707547169811321,0.46274038461538464,0.6131017010495838,0.4205352266521027
MI_30min_MidClose,0.5917058572039333,0.6265292981326465,0.5229007633587787,0.6728907330567082,0.46598639455782315
MI_1h_MidClose,0.5689136968656076,0.5952782462057336,0.48363636363636364,0.6799357945425362,0.35
MI_2h_MidClose,0.5651242502142245,0.6106442577030813,0.49337748344370863,0.6334907373774065,0.4697845507094062
MI_4h_MidClose,0.5397166165736368,0.586940572267058,0.47401247401247404,0.6008261359369133,0.46177215189873416
MI_8h_MidClose,0.5903197925669835,0.6359803232607167,0.5173961840628507,0.6569872958257713,0.493576017130621
MI_12h_MidClose,0.5468682505399568,0.5747776879547292,0.5153203342618384,0.5759416767922235,0.5148423005565863
MI_1d_MidClose,0.5795454545454546,0.6207376478775226,0.5099882491186839,0.6499089253187614,0.4745762711864407
MI_2d_MidClose,0.6616231086657497,0.6699458927693065,0.5472972972972973,0.7872832369942196,0.1853546910755149
MI_3d_MidClose,0.6291169451073986,0.6291169451073986,0.0,0.7723410489305597,0.0
MI_4d_MidClose,0.6572560673600792,0.697594501718213,0.5531914893617021,0.745775165319618,0.47452471482889735
